"Designator";"Mid X";"Mid Y ";"Layer";"Rotation"
"C1";"9.366mm";"41.114mm";"Top";"90"
"C2";"88.582mm";"42.865mm";"Top";"270"
"CN1";"6.14mm";"47.784mm";"Top";"0"
"CN2";"92.075mm";"46.514mm";"Top";"0"
"D1";"49.042mm";"75.089mm";"Top";"0"
"D2";"43.974mm";"57.298mm";"Top";"0"
"D3";"28.881mm";"38.576mm";"Top";"0"
"D4";"73.501mm";"84.761mm";"Top";"90"
"D5";"28.734mm";"9.842mm";"Top";"0"
"D6";"81.586mm";"76.2mm";"Top";"0"
"D7";"81.269mm";"57.309mm";"Top";"0"
"D8";"81.427mm";"38.1mm";"Top";"0"
"D9";"28.734mm";"84.931mm";"Top";"0"
"D10";"81.269mm";"20.003mm";"Top";"0"
"D11";"43.962mm";"39.053mm";"Top";"0"
"D12";"28.734mm";"66.199mm";"Top";"0"
"D13";"28.734mm";"47.466mm";"Top";"0"
"JK1";"43.719mm";"66.199mm";"Top";"0"
"JK2";"43.719mm";"47.466mm";"Top";"0"
"JK3";"28.797mm";"28.734mm";"Top";"0"
"JK4";"81.343mm";"84.931mm";"Top";"0"
"JK5";"81.343mm";"66.199mm";"Top";"0"
"JK6";"43.815mm";"84.853mm";"Top";"0"
"JK7";"81.184mm";"47.466mm";"Top";"0"
"JK8";"81.184mm";"28.575mm";"Top";"0"
"JK9";"58.738mm";"84.853mm";"Top";"0"
"JK10";"81.184mm";"10.001mm";"Top";"0"
"JK11";"43.719mm";"28.734mm";"Top";"0"
"JK12";"58.8mm";"28.575mm";"Top";"0"
"JK13";"58.8mm";"9.842mm";"Top";"0"
"JK14";"58.8mm";"66.199mm";"Top";"0"
"JK15";"58.8mm";"47.466mm";"Top";"0"
"L1";"9.366mm";"37.1mm";"Top";"270"
"L2";"96.837mm";"44.118mm";"Top";"270"
"Q1";"22.423mm";"61.28mm";"Top";"90"
"Q2";"22.381mm";"42.742mm";"Top";"90"
"R1";"23.606mm";"85.09mm";"Top";"180"
"R2";"23.813mm";"9.731mm";"Top";"0"
"R3";"21.273mm";"89.361mm";"Top";"270"
"R4";"51.752mm";"89.011mm";"Top";"270"
"R5";"18.78mm";"53.658mm";"Top";"0"
"R6";"88.582mm";"38.941mm";"Top";"90"
"R7";"18.78mm";"57.785mm";"Top";"0"
"R8";"23.606mm";"66.04mm";"Top";"180"
"R9";"23.606mm";"47.466mm";"Top";"180"
"R10";"18.574mm";"35.607mm";"Top";"180"
"R11";"18.526mm";"39.688mm";"Top";"180"
"RP1";"103.783mm";"84.946mm";"Top";"0"
"RP2";"103.783mm";"66.214mm";"Top";"0"
"RP3";"103.783mm";"47.481mm";"Top";"0"
"RP4";"103.783mm";"28.59mm";"Top";"0"
"RP5";"103.783mm";"9.857mm";"Top";"0"
"RP6";"43.775mm";"9.857mm";"Top";"0"
"SW1";"13.771mm";"66.239mm";"Top";"0"
"SW2";"13.771mm";"47.348mm";"Top";"0"
"SW3";"13.771mm";"28.615mm";"Top";"0"
"SW4";"13.818mm";"9.887mm";"Top";"0"
"SW5";"13.771mm";"84.971mm";"Top";"0"
