"Comment";"Designator";"Footprint";"LCSC Part #"
"100nF";"C1, C2, C3, C4, C7, C9, C10, C12,
C13, C14, C15, C16, C17, C18, C19,
C21, C26, C29, C31, C33, C36, C39,
C40, C41, C42";"CAP_0402";"C1525"
"12pF";"C5, C6, C23, C24";"CAP_0402";"C1547"
"22uF 16V";"C8, C25, C28, C30, C32, C35";"TC_3216";"C110310"
"1nF";"C11";"CAP_0402";"C307441"
"10nF";"C20, C22, C34, C37";"CAP_0402";"C301926"
"1uF";"C27, C38";"CAP_0402";"C83063"
"ISP";"CN1, CN5";"AVRISP";"C390690"
"Header 8 pin";"CN2";"2.54_8_goldPin";"C343639"
"Header 15 pin";"CN3";"2.54_15_goldPin";"C343639"
"A254HWV-4P";"CN4";"TBH-1x4/3.5/13x3";"C225501"
"EURO_PWR_HEADER";"CN6";"EURO_PWR_HEADER_FAT";"C343639"
"1N4148WS";"D1";"SOD-323F";"C369921"
"AT89S52-24AU";"IC1";"QFP-44/12x12x0.8";"C8731"
"TLC7226CDRW";"IC2";"SOJ-20/12.4x1.27";"C473360"
"TL081CDR";"IC3";"SOIC-8/150mil";"C67474"
"6N138SDM";"IC4";"8-SMD";"C188666"
"74HC14PWR";"IC5";"TSSOP-14";"C6821"
"ATMEGA328P-MU";"IC6";"QFN-32/5x5x0.5";"C38896"
"CD40106BPWR";"IC7, IC8";"TSSOP-14";"C58834"
"PJ7805TE";"IC9";"TO252-3(4)/10x6.6x2.28";"C469396"
"MCP6002T-I/SN";"IC10";"SOIC-8/150mil";"C7377"
"";"JP1";"2.SML";""
"SDFL1005Q3R3KTF";"L1, L2, L3, L4, L5, L6";"RES_0402";"C84474"
"2K";"PR1";"ST-4EA";"C132877"
"10K";"R1, R2, R3, R4, R5, R6, R7, R8, R20,
R22, R25, R26, R30";"RES_0402";"C102759"
"100K";"R9, R10, R21, R23, R27, R31";"RES_0402";"C176119"
"1K";"R11, R12, R14, R17, R18, R19, R33";"RES_0402";"C208774"
"220R";"R13, R15";"RES_0402";"C409726"
"5.6K";"R16";"RES_0402";"C323709"
"15K";"R24, R28, R29";"RES_0402";"C25756"
"2.2K";"R32";"RES_0402";"C323735"
"X322512MLB4SI";"X1";"CFPX-5";"C112971"
"X322516MOB4SI";"X2";"CFPX-5";"C12668"
