"Designator";"Mid X ";"Mid Y ";"Layer";"Rotation"
"C1";"38.591mm";"15.399mm";"Bottom";"180"
"C2";"48.563mm";"31.433mm";"Bottom";"0"
"C3";"27.161mm";"31.433mm";"Bottom";"180"
"C4";"35.719mm";"27.32mm";"Bottom";"270"
"C5";"27.464mm";"13.32mm";"Bottom";"90"
"C6";"33.338mm";"13.35mm";"Bottom";"270"
"C7";"49.515mm";"14.605mm";"Bottom";"0"
"C8";"36.449mm";"46.196mm";"Bottom";"0"
"C9";"29.354mm";"41.116mm";"Bottom";"0"
"C10";"85.264mm";"45.879mm";"Bottom";"180"
"C11";"32.083mm";"51.435mm";"Bottom";"180"
"C12";"34.781mm";"49.054mm";"Bottom";"180"
"C13";"79.708mm";"26.829mm";"Bottom";"180"
"C14";"22.384mm";"55.895mm";"Bottom";"270"
"C15";"87.471mm";"24.274mm";"Bottom";"90"
"C16";"83.2mm";"23.495mm";"Bottom";"180"
"C17";"76.676mm";"16.178mm";"Bottom";"90"
"C18";"70.788mm";"26.035mm";"Bottom";"0"
"C19";"74.915mm";"27.146mm";"Bottom";"0"
"C20";"88.106mm";"40.179mm";"Bottom";"270"
"C21";"81.454mm";"19.367mm";"Bottom";"180"
"C22";"61.754mm";"42.53mm";"Bottom";"0"
"C23";"75.089mm";"16.178mm";"Bottom";"90"
"C24";"68.739mm";"17.795mm";"Bottom";"270"
"C25";"54.229mm";"45.402mm";"Bottom";"0"
"C26";"51.261mm";"48.577mm";"Bottom";"0"
"C27";"20.796mm";"15.096mm";"Bottom";"270"
"C28";"75.565mm";"49.367mm";"Bottom";"90"
"C29";"70.488mm";"56.832mm";"Bottom";"0"
"C30";"78.581mm";"55.559mm";"Bottom";"90"
"C31";"82.709mm";"54.93mm";"Bottom";"90"
"C32";"61.214mm";"54.769mm";"Bottom";"0"
"C33";"63.659mm";"49.374mm";"Bottom";"90"
"C34";"66.993mm";"33.799mm";"Bottom";"90"
"C35";"46.292mm";"45.402mm";"Bottom";"0"
"C36";"46.511mm";"48.577mm";"Bottom";"180"
"C37";"56.198mm";"37.45mm";"Bottom";"90"
"C38";"9.51mm";"14.288mm";"Bottom";"0"
"C39";"15.89mm";"10.477mm";"Bottom";"180"
"C40";"58.738mm";"43.036mm";"Bottom";"270"
"C41";"41.29mm";"35.242mm";"Bottom";"180"
"C42";"76.835mm";"39.514mm";"Bottom";"90"
"CN1";"39.211mm";"6.032mm";"Bottom";"0"
"CN2";"92.234mm";"27.94mm";"Top";"0"
"CN3";"6.299mm";"29.21mm";"Top";"0"
"CN4";"51.923mm";"4.286mm";"Bottom";"180"
"CN5";"64.294mm";"6.191mm";"Bottom";"180"
"CN6";"50.324mm";"53.658mm";"Bottom";"180"
"D1";"10.171mm";"44.132mm";"Bottom";"0"
"IC1";"27.29mm";"23.464mm";"Bottom";"0"
"IC2";"47.625mm";"23.121mm";"Bottom";"270"
"IC3";"30.48mm";"46.354mm";"Bottom";"90"
"IC4";"18.354mm";"48.284mm";"Bottom";"0"
"IC5";"37.825mm";"38.621mm";"Bottom";"180"
"IC6";"75.814mm";"21.745mm";"Bottom";"270"
"IC7";"82.19mm";"38.531mm";"Bottom";"0"
"IC8";"62.188mm";"38.531mm";"Bottom";"0"
"IC9";"69.114mm";"49.299mm";"Bottom";"90"
"IC10";"16.828mm";"15.397mm";"Bottom";"90"
"JP1";"56.991mm";"9.639mm";"Bottom";"270"
"L1";"37.782mm";"13.191mm";"Bottom";"270"
"L2";"74.613mm";"55.356mm";"Bottom";"90"
"L3";"60.484mm";"47.736mm";"Bottom";"90"
"L4";"39.861mm";"49.212mm";"Bottom";"180"
"L5";"35.766mm";"55.721mm";"Bottom";"180"
"L6";"37.768mm";"52.705mm";"Bottom";"0"
"PR1";"16.129mm";"22.161mm";"Bottom";"180"
"R1";"38.561mm";"23.495mm";"Bottom";"0"
"R2";"38.561mm";"25.082mm";"Bottom";"0"
"R3";"38.561mm";"26.67mm";"Bottom";"0"
"R4";"38.591mm";"28.258mm";"Bottom";"0"
"R5";"38.561mm";"16.827mm";"Bottom";"0"
"R6";"38.561mm";"18.415mm";"Bottom";"0"
"R7";"38.561mm";"20.002mm";"Bottom";"0"
"R8";"38.561mm";"21.749mm";"Bottom";"0"
"R9";"27.146mm";"52.849mm";"Bottom";"90"
"R10";"26.194mm";"49.039mm";"Bottom";"90"
"R11";"30.813mm";"53.499mm";"Bottom";"180"
"R12";"85.264mm";"43.18mm";"Bottom";"180"
"R13";"10.463mm";"46.99mm";"Bottom";"0"
"R14";"81.121mm";"30.019mm";"Bottom";"270"
"R15";"10.334mm";"41.91mm";"Bottom";"180"
"R16";"17.765mm";"55.563mm";"Bottom";"0"
"R17";"87.471mm";"27.796mm";"Bottom";"270"
"R18";"84.153mm";"27.622mm";"Bottom";"180"
"R19";"60.008mm";"23.004mm";"Bottom";"90"
"R20";"81.598mm";"50.117mm";"Bottom";"270"
"R21";"86.693mm";"34.607mm";"Bottom";"180"
"R22";"57.453mm";"48.577mm";"Bottom";"0"
"R23";"56.086mm";"40.957mm";"Bottom";"0"
"R24";"21.288mm";"11.747mm";"Bottom";"180"
"R25";"60.643mm";"9.51mm";"Bottom";"90"
"R26";"52.546mm";"35.29mm";"Bottom";"90"
"R27";"58.723mm";"35.084mm";"Bottom";"0"
"R28";"12.859mm";"16.366mm";"Bottom";"270"
"R29";"9.381mm";"16.192mm";"Bottom";"0"
"R30";"68.739mm";"38.402mm";"Bottom";"270"
"R31";"51.609mm";"38.894mm";"Bottom";"180"
"R32";"9.54mm";"18.415mm";"Bottom";"180"
"R33";"9.54mm";"20.796mm";"Bottom";"180"
"X1";"30.315mm";"13.505mm";"Bottom";"0"
"X2";"71.766mm";"16.358mm";"Bottom";"270"
