"Comment","Designator","Footprint","JLCPCB Part#"
"RVE1V471M1010","C1","CAPAE-10.3x10.3h12.5","C131125"
"10uF","C2, C5, C7, C16, C21, C23, C32","TC_3216","Part 1"
"100nF","C3, C4, C6, C8, C9, C10, C26, C27,
C28, C29, C30, C41","CAP_0805","Part 1"
"10uF","C11, C12, C13, C18, C19, C25, C38,
C40, C42","CAP_0805","Part 1"
"10nF","C14, C15, C22, C31, C35, C44","CAP_0805","Part 1"
"47pF","C17, C33","CAP_0805","Part 1"
"2.2uF","C20, C24, C37, C39","CAP_0805","Part 1"
"150nF","C34","CAP_0805","Part 1"
"270pF","C36","CAP_0805","Part 1"
"2.2nF","C43","CAP_0805","Part 1"
"B-2100S10P-B110","CN1","HDR-TH_10P-P2.54-V-M-R2-C5-S2.54
","C124387"
"REC","D1","LED100","Part 1"
"PLAY","D2","LED100","Part 1"
"oLED_128x64","DS1","display 128x64","Part 1"
"10KB","FX_LEV, FX_SET, LP_VOL, VOL,
W/D","9MM_SNAP-IN_POT","Part 1"
"L7805","IC1","TO252-3(4)/10x6.6x2.28","Part 1"
"TEENSY 4","IC2","DIP-28/600mil","Part 1"
"AP7313-18SAG-T","IC3","SOT323","C460373"
"MCP6002","IC4, IC7","SOIC-8/150mil","Part 1"
"SGTL5000","IC5","QFN-20V/3x3x0.4","C2651833"
"23LC1024","IC6","SOIC-8/150mil","Part 1"
"MONO SOCKET 301BM","INPUT, L_CH, R_CH, REC, STOP","301BM","Part 1"
"47uH","L1, L2, L3, L4,  L5, L6","R0805","Part 1"
"2N3904S-RTK/PS","Q1, Q2","SOT23","C18536"
"1.5K","R1, R2","RES_0805","Part 1"
"100R","R3, R4, R5","RES_0805","Part 1"
"5.6K","R6, R20","RES_0805","Part 1"
"1K","R7, R17","RES_0805","Part 1"
"4.7K","R8, R15, R19, R22, R24","RES_0805","Part 1"
"2K","R9, R14","RES_0805","Part 1"
"10K","R10, R12, R16, R18, R23","RES_0805","Part 1"
"100KB","R13","9MM_SNAP-IN_POT","Part 1"
"1M","R21, R25, R26","RES_0805","Part 1"
"REC","SW1","TACTILE_SWITCH_PTH_12MM","Part 1"
"STOP","SW2","TACTILE_SWITCH_PTH_12MM","Part 1"
"BYPAS","SW3","TACTILE_SWITCH_PTH_12MM","Part 1"
"ENCODER","U1","ROTARY_ENC_PLAIN","Part 1"
